District,Total_Demand_Tons,Cattle_Demand,Buffaloes_Demand,Sheep_Demand,Goat_Demand,Pig_Demand,Poultry_Demand
PRAKASAM,2427896.2,137387.80000000002,1849564.6,331450.8,106927.79999999999,2565.2000000000003,0.0
ANANTAPUR,1930220.4,649569.8,601075.8,570066.2999999999,103522.5,5986.0,0.0
NELLORE,1905278.4000000001,139260.0,1425860.8,253269.0,85055.4,1833.2,0.0
SRIKAKULAM,1826780.2000000002,1365993.2000000002,267384.0,142930.5,49414.5,1058.0,0.0
SRI SATYASAI,1800929.6,708424.2000000001,363854.4,593885.7,132040.5,2724.8,0.0
PALNADU,1701896.3,177964.6,1329580.2,137883.9,55062.0,1405.6000000000001,0.0
ELURU,1665749.5,263333.4,1207583.0,139163.4,53330.1,2339.6,0.0
KADAPA,1481487.2,145941.40000000002,956883.2000000001,287043.6,89407.8,2211.2000000000003,0.0
ALLURI SITARAMA RAJU,1409566.7,1125207.6,153127.0,34950.299999999996,95206.2,1075.6000000000001,0.0
NANDYAL,1381420.2,336107.2,758141.8,207768.0,77250.0,2153.2000000000003,0.0
TIRUPATI,1347164.0,537169.6000000001,586742.0,154325.1,66532.5,2394.8,0.0
ANNAMAYYA,1336268.5,655611.0,268634.60000000003,324386.7,85308.59999999999,2327.6000000000004,0.0
CHITTOOR,1324876.6,1128331.6,20940.4,121938.3,52985.1,681.2,0.0
BAPATLA,1242353.8,44446.600000000006,1103697.4000000001,80848.8,10835.4,2525.6000000000004,0.0
KURNOOL,1201229.6,562863.4,315169.4,243633.3,74601.9,4961.6,0.0
VIZIANAGARAM,1134477.0,714824.0,274981.2,109143.59999999999,33143.4,2384.8,0.0
KAKINADA,1105806.8,180694.80000000002,857396.8,33794.4,28737.6,5183.2,0.0
ANAKAPALLI,1023363.2000000001,333234.0,619338.2000000001,34513.2,34211.4,2066.4,0.0
KRISHNA,932936.6000000001,70756.40000000001,798959.2000000001,50056.5,11915.699999999999,1248.8000000000002,0.0
EASTGODAVARI,835828.4,193481.2,581305.4,40041.299999999996,18161.7,2838.8,0.0
NTR,804089.5,70435.20000000001,643203.6,67911.9,20546.399999999998,1992.4,0.0
GUNTUR,735090.2,41045.4,659206.6,28735.5,5144.7,958.0,0.0
PARVATHIPURAM MANYAM,719676.6000000001,504501.80000000005,132033.2,47376.6,33257.4,2507.6,0.0
DR B.R. AMBEDKAR KONASEEMA,647000.6000000001,138413.0,482263.60000000003,11466.0,9010.8,5847.200000000001,0.0
WESTGODAVARI,543642.2,70188.8,453973.0,10450.8,7710.0,1319.6,0.0
VISAKHAPATNAM,191088.9,79241.8,91265.20000000001,10913.1,9338.4,330.4,0.0
