District,Total_Fodder_Tons,Total_Demand_Tons,Balance_Tons,Status,Deficit_Percentage,Paddy,Wheat,Jowar,Bajra,Maize,Ragi,Small Millets,Groundnut,Sugarcane,Cotton,Pulses,Soyabean,Cattle_Demand,Buffaloes_Demand,Sheep_Demand,Goat_Demand,Pig_Demand,Poultry_Demand
ALLURI SITARAMA RAJU,449237.7023809524,1409566.7,-960328.9976190476,DEFICIT,-68.12937604293913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1125207.6,153127.0,34950.3,95206.2,1075.6,0.0
ALLURISITARAMARAJU,0.0,0.0,0.0,0,0.0,255196.71666666667,0.0,375.0,1571.0,9588.857142857143,10563.771428571428,12880.971428571427,1844.5714285714284,154778.8476190476,0.0,2437.9666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANAKAPALLI,449237.7023809524,1023363.2,-574125.4976190475,DEFICIT,-56.10183145329513,255196.71666666667,0.0,375.0,1571.0,9588.857142857143,10563.771428571428,12880.971428571427,1844.5714285714284,154778.8476190476,0.0,2437.9666666666667,0.0,333234.0,619338.2000000001,34513.2,34211.4,2066.4,0.0
ANANTAPUR,1056258.4446428572,1930220.4,-873961.9553571427,DEFICIT,-45.2778322805594,132467.79464285713,19.821428571428573,43647.32142857144,4455.642857142857,94640.14285714286,3524.742857142857,44701.84285714285,731839.3142857143,599.0,0.0,41.56428571428573,321.2571428571428,649569.8,601075.8,570066.2999999999,103522.5,5986.0,0.0
ANNAMAYYA,828280.801190476,1336268.5,-507987.698809524,DEFICIT,-38.01539127873807,456114.9357142857,11.964285714285714,36219.79166666666,9404.142857142857,14778.571428571428,3749.4857142857145,22547.914285714283,178055.84761904762,106293.08571428571,0.0,600.547619047619,504.5142857142857,655611.0,268634.60000000003,324386.7,85308.59999999999,2327.6000000000004,0.0
BAPATLA,1198995.3839285714,1242353.8,-43358.416071428685,DEFICIT,-3.4900216082913484,863755.6648809524,1.011904761904762,75303.2738095238,18045.571428571428,155180.0,1137.428571428571,69862.15714285715,11538.438095238096,3913.7238095238095,0.0,0.0,258.1142857142857,44446.600000000006,1103697.4,80848.8,10835.4,2525.6000000000004,0.0
CHITTOOR,464771.6690476191,1324876.6,-860104.930952381,DEFICIT,-64.91962579400837,236058.17857142855,0.0,188.0952380952381,2397.857142857143,4815.142857142857,3533.1428571428573,4728.171428571428,108091.2761904762,104424.0,0.0,535.8047619047619,0.0,1128331.6,20940.4,121938.3,52985.1,681.2,0.0
DR B.R. AMBEDKAR KONASEEMA,1219509.4630952384,647000.6000000001,572508.8630952383,SURPLUS,88.48660466392741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138413.0,482263.6,11466.0,9010.8,5847.200000000001,0.0
DRBRAMBEDKARKONASEEMA,0.0,0.0,0.0,0,0.0,1132311.0654761908,0.0,2606.845238095238,39.0,21259.714285714286,174.97142857142856,6679.714285714285,420.8761904761905,56012.66666666666,0.0,3.9809523809523815,0.6285714285714286,0.0,0.0,0.0,0.0,0.0,0.0
EAST GODAVARI,1219509.4630952384,835828.4,383681.0630952384,SURPLUS,45.904286465408255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
