District,Total_Fodder_Tons,Paddy,Wheat,Jowar,Bajra,Maize,Ragi,Small Millets,Groundnut,Sugarcane,Cotton,Pulses,Soyabean
SRIKAKULAM,2130032.5964285713,1807867.8892857141,0.0,338.39285714285717,332.14285714285717,164541.42857142858,5733.6,43894.28571428571,20342.85714285714,86982.0,0.0,0.0,0.0
NELLORE,1901064.7249999999,1820836.967857143,0.0,6301.785714285715,3375.0,4874.571428571428,202.9714285714286,5049.771428571428,32397.257142857146,28024.0,0.0,0.0,2.4
ELURU,1828093.4571428571,1557691.0142857141,1.7857142857142858,229.46428571428572,0.0,135780.0,1.7142857142857142,36427.114285714284,4648.228571428572,93314.05714285716,0.0,0.07857142857142858,0.0
WESTGODAVARI,1828093.4571428571,1557691.0142857141,1.7857142857142858,229.46428571428572,0.0,135780.0,1.7142857142857142,36427.114285714284,4648.228571428572,93314.05714285716,0.0,0.07857142857142858,0.0
EASTGODAVARI,1219509.4630952384,1132311.0654761908,0.0,2606.845238095238,39.0,21259.714285714286,174.97142857142856,6679.714285714285,420.8761904761905,56012.666666666664,0.0,3.9809523809523815,0.6285714285714286
DRBRAMBEDKARKONASEEMA,1219509.4630952384,1132311.0654761908,0.0,2606.845238095238,39.0,21259.714285714286,174.97142857142856,6679.714285714285,420.8761904761905,56012.666666666664,0.0,3.9809523809523815,0.6285714285714286
KAKINADA,1219509.4630952384,1132311.0654761908,0.0,2606.845238095238,39.0,21259.714285714286,174.97142857142856,6679.714285714285,420.8761904761905,56012.666666666664,0.0,3.9809523809523815,0.6285714285714286
NTR,1215900.8714285716,1025858.8785714287,0.0,4829.464285714285,0.0,65180.57142857143,0.0,17511.042857142857,2683.657142857143,99837.0,0.0,0.0,0.2571428571428571
KRISHNA,1215900.8714285716,1025858.8785714287,0.0,4829.464285714285,0.0,65180.57142857143,0.0,17511.042857142857,2683.657142857143,99837.0,0.0,0.0,0.2571428571428571
BAPATLA,1198995.3839285714,863755.6648809524,1.0119047619047619,75303.2738095238,18045.571428571428,155180.0,1137.4285714285713,69862.15714285715,11538.438095238096,3913.7238095238095,0.0,0.0,258.1142857142857
SRISATYASAI,1056258.4446428572,132467.79464285713,19.821428571428573,43647.321428571435,4455.642857142857,94640.14285714286,3524.742857142857,44701.84285714285,731839.3142857143,599.0,0.0,41.564285714285724,321.2571428571428
ANANTAPUR,1056258.4446428572,132467.79464285713,19.821428571428573,43647.321428571435,4455.642857142857,94640.14285714286,3524.742857142857,44701.84285714285,731839.3142857143,599.0,0.0,41.564285714285724,321.2571428571428
KURNOOL,1023277.7196428571,419559.33035714284,89.46428571428571,168995.08928571426,12539.357142857141,166257.42857142858,2.742857142857143,99423.25714285714,150997.94285714286,3935.0,0.0,0.39285714285714285,1477.7142857142858
NANDYAL,1023277.7196428571,419559.33035714284,89.46428571428571,168995.08928571426,12539.357142857141,166257.42857142858,2.742857142857143,99423.25714285714,150997.94285714286,3935.0,0.0,0.39285714285714285,1477.7142857142858
ANNAMAYYA,828280.801190476,456114.9357142857,11.964285714285714,36219.791666666664,9404.142857142857,14778.571428571428,3749.4857142857145,22547.914285714283,178055.84761904762,106293.08571428571,0.0,600.547619047619,504.5142857142857
PARVATHIPURAMMANYAM,824100.9821428573,570921.0928571429,0.17857142857142858,388.83928571428567,158.35714285714286,108398.57142857143,7451.142857142857,33498.385714285716,6592.228571428573,95149.90000000001,0.0,1542.2000000000003,0.08571428571428572
VIZIANAGARAM,824100.9821428573,570921.0928571429,0.17857142857142858,388.83928571428567,158.35714285714286,108398.57142857143,7451.142857142857,33498.385714285716,6592.228571428573,95149.90000000001,0.0,1542.2000000000003,0.08571428571428572
GUNTUR,669802.0392857144,501761.8202380953,0.8333333333333334,41618.452380952374,1003.0,89054.0,246.8571428571429,31479.34285714286,3126.095238095238,1330.6666666666667,0.0,0.0,180.97142857142856
PALNADU,669802.0392857144,501761.8202380953,0.8333333333333334,41618.452380952374,1003.0,89054.0,246.8571428571429,31479.34285714286,3126.095238095238,1330.6666666666667,0.0,0.0,180.97142857142856
PRAKASAM,529193.3446428571,361993.84464285715,0.17857142857142858,33684.82142857143,17042.571428571428,66126.0,890.5714285714284,38382.81428571428,8412.342857142858,2583.057142857143,0.0,0.0,77.14285714285714
CHITTOOR,464771.6690476191,236058.17857142858,0.0,188.0952380952381,2397.857142857143,4815.142857142857,3533.1428571428573,4728.171428571428,108091.2761904762,104424.0,0.0,535.8047619047619,0.0
TIRUPATI,464771.6690476191,236058.17857142858,0.0,188.0952380952381,2397.857142857143,4815.142857142857,3533.1428571428573,4728.171428571428,108091.2761904762,104424.0,0.0,535.8047619047619,0.0
ALLURISITARAMARAJU,449237.7023809524,255196.71666666667,0.0,375.0,1571.0,9588.857142857143,10563.771428571428,12880.971428571429,1844.5714285714284,154778.8476190476,0.0,2437.9666666666667,0.0
ANAKAPALLI,449237.7023809524,255196.71666666667,0.0,375.0,1571.0,9588.857142857143,10563.771428571428,12880.971428571429,1844.5714285714284,154778.8476190476,0.0,2437.9666666666667,0.0
VISAKHAPATNAM,449237.7023809524,255196.71666666667,0.0,375.0,1571.0,9588.857142857143,10563.771428571428,12880.971428571429,1844.5714285714284,154778.8476190476,0.0,2437.9666666666667,0.0
KADAPA,363509.13214285724,220056.75714285715,11.964285714285714,36031.69642857143,7006.285714285714,9963.42857142857,216.34285714285716,17819.742857142854,69964.57142857143,1869.0857142857142,0.0,64.74285714285715,504.5142857142857
