District,Total_Fodder_Tons,Total_Demand_Tons,Balance_Tons,Status,Deficit_Percentage
PRAKASAM,529193.3446428571,2427896.2,-1898702.855357143,DEFICIT,-78.20362564746974
KADAPA,363509.1321428573,1481487.2,-1117978.0678571425,DEFICIT,-75.46322829229591
PALNADU,669802.0392857144,1701896.3,-1032094.2607142857,DEFICIT,-60.6437807470576
ALLURI SITARAMA RAJU,449237.7023809524,1409566.7,-960328.9976190475,DEFICIT,-68.12937604293913
TIRUPATI,464771.6690476191,1347164.0,-882392.3309523809,DEFICIT,-65.49999338999416
ANANTAPUR,1056258.4446428572,1930220.4,-873961.9553571427,DEFICIT,-45.2778322805594
CHITTOOR,464771.6690476191,1324876.6,-860104.930952381,DEFICIT,-64.91962579400837
SRI SATYASAI,1056258.4446428572,1800929.6,-744671.1553571429,DEFICIT,-41.34926514379812
ANAKAPALLI,449237.7023809524,1023363.2,-574125.4976190475,DEFICIT,-56.10183145329513
ANNAMAYYA,828280.801190476,1336268.5,-507987.69880952395,DEFICIT,-38.015391278738065
NANDYAL,1023277.7196428572,1381420.2,-358142.48035714275,DEFICIT,-25.925672750198874
VIZIANAGARAM,824100.9821428573,1134477.0,-310376.0178571427,DEFICIT,-27.358511266173114
KURNOOL,1023277.7196428572,1201229.6,-177951.8803571429,DEFICIT,-14.814143803744336
GUNTUR,669802.0392857144,735090.2,-65288.160714285565,DEFICIT,-8.88165298820275
BAPATLA,1198995.3839285714,1242353.8,-43358.416071428685,DEFICIT,-3.4900216082913484
NELLORE,1901064.725,1905278.4,-4213.674999999814,DEFICIT,-0.22115796830530454
PARVATHIPURAM MANYAM,824100.9821428573,719676.6000000001,104424.38214285718,SURPLUS,14.509903773841911
KAKINADA,1219509.4630952384,1105806.8,113702.66309523839,SURPLUS,10.282326270306747
ELURU,1828093.457142857,1665749.5,162343.9571428569,SURPLUS,9.746000652730611
VISAKHAPATNAM,449237.7023809524,191088.9,258148.80238095243,SURPLUS,135.09356241045523
KRISHNA,1215900.8714285716,932936.6,282964.27142857166,SURPLUS,30.33049313625081
SRIKAKULAM,2130032.5964285717,1826780.2,303252.3964285718,SURPLUS,16.600376795663312
EAST GODAVARI,1219509.4630952384,835828.4,383681.0630952384,SURPLUS,45.904286465408255
NTR,1215900.8714285716,804089.5,411811.37142857164,SURPLUS,51.214618699606405
DR B.R. AMBEDKAR KONASEEMA,1219509.4630952384,647000.6000000001,572508.8630952383,SURPLUS,88.48660466392741
WEST GODAVARI,1828093.457142857,543642.2,1284451.257142857,SURPLUS,236.26776161652958
