District,Mandal,Total_Demand_Tons,Cattle_Demand,Buffaloes_Demand,Sheep_Demand,Goat_Demand,Pig_Demand,Poultry_Demand
ALLURI SITARAMA RAJU,Addateegala,39042.6,29730.800000000003,6986.2,169.5,2132.1,24.0,0.0
ALLURI SITARAMA RAJU,Ananthagiri,87521.2,60273.4,15522.0,4691.099999999999,7034.7,0.0,0.0
ALLURI SITARAMA RAJU,Araku Valley,84398.7,62348.00000000001,12727.0,4760.4,4563.3,0.0,0.0
ALLURI SITARAMA RAJU,Chinthapalli,85342.40000000001,68362.8,8860.800000000001,2350.5,5615.099999999999,153.20000000000002,0.0
ALLURI SITARAMA RAJU,Chinturu,132640.6,100819.40000000001,16569.8,671.4,14580.0,0.0,0.0
ALLURI SITARAMA RAJU,Devipatnam,36507.30000000001,25165.800000000003,7742.8,642.9,2863.7999999999997,92.0,0.0
ALLURI SITARAMA RAJU,Dumbriguda,55744.700000000004,46741.200000000004,3224.0,3520.5,1937.3999999999999,321.6,0.0
ALLURI SITARAMA RAJU,G.Madugula,73634.70000000001,60249.200000000004,7381.400000000001,1182.3,4771.8,50.0,0.0
ALLURI SITARAMA RAJU,Gangavaram,25029.300000000003,18323.800000000003,4230.2,593.1,1882.1999999999998,0.0,0.0
ALLURI SITARAMA RAJU,Gudem KothaVeedhi,102449.7,93825.6,959.4,1088.3999999999999,6452.7,123.60000000000001,0.0
ALLURI SITARAMA RAJU,Hukumpeta,87543.8,75763.6,912.6,4548.0,6277.2,42.400000000000006,0.0
ALLURI SITARAMA RAJU,Koyyuru,81819.0,73139.0,3452.8,651.9,4575.3,0.0,0.0
ALLURI SITARAMA RAJU,Kunavaram,52203.9,41463.4,6819.8,711.6,3209.1,0.0,0.0
ALLURI SITARAMA RAJU,Maredumilli,58257.700000000004,55800.8,483.6,0.0,1848.8999999999999,124.4,0.0
ALLURI SITARAMA RAJU,MunchingiPuttu,59154.5,46028.4,8145.8,1997.6999999999998,2933.4,49.2,0.0
ALLURI SITARAMA RAJU,Paderu,85894.2,64004.600000000006,11143.6,3566.7,7140.9,38.400000000000006,0.0
ALLURI SITARAMA RAJU,PedaBayalu,65382.799999999996,47671.8,13356.2,1999.1999999999998,2355.6,0.0,0.0
ALLURI SITARAMA RAJU,Rajavommangi,47881.799999999996,34793.0,10301.2,634.5,2153.1,0.0,0.0
ALLURI SITARAMA RAJU,Rampachodavaram,45265.8,36669.600000000006,3575.0,227.4,4762.2,31.6,0.0
ALLURI SITARAMA RAJU,Vararamachandrapuram,56293.50000000001,41674.600000000006,9861.800000000001,943.1999999999999,3813.8999999999996,0.0,0.0
ALLURI SITARAMA RAJU,Y.Ramavaram,47558.5,42358.8,871.0,0.0,4303.5,25.200000000000003,0.0
ANAKAPALLI,Anakapalli,46301.200000000004,12938.2,30430.4,1203.0,1388.3999999999999,341.20000000000005,0.0
ANAKAPALLI,Atchutapuram,39696.9,19386.4,18540.600000000002,798.0,912.3,59.6,0.0
ANAKAPALLI,Butchayyapeta,39004.200000000004,12749.000000000002,21798.4,2503.7999999999997,1798.2,154.8,0.0
ANAKAPALLI,Cheedikada,45341.80000000001,18997.0,24325.600000000002,1064.3999999999999,924.0,30.8,0.0
ANAKAPALLI,Chodavaram,49678.3,25951.2,20898.8,1051.5,1632.0,144.8,0.0
ANAKAPALLI,Devarapalli,40548.9,11521.400000000001,26361.4,1146.6,1467.8999999999999,51.6,0.0
ANAKAPALLI,Golugonda,29244.5,9539.2,17147.0,929.4,1568.1,60.800000000000004,0.0
ANAKAPALLI,K.Kotapadu,68089.2,27141.4,36524.8,2009.1,2173.5,240.4,0.0
ANAKAPALLI,Kasimkota,40175.5,9721.800000000001,26795.600000000002,1365.0,2255.1,38.0,0.0
ANAKAPALLI,Kotauratla,59727.9,20963.800000000003,35648.6,1448.3999999999999,1639.5,27.6,0.0
ANAKAPALLI,Makavarapalem,34708.100000000006,7381.000000000001,23891.4,1500.8999999999999,1894.8,40.0,0.0
ANAKAPALLI,Munagapaka,29376.800000000003,14115.2,13657.800000000001,1048.2,505.2,50.400000000000006,0.0
ANAKAPALLI,Nakkapalli,41523.200000000004,3592.6000000000004,32494.800000000003,3702.2999999999997,1713.8999999999999,19.6,0.0
ANAKAPALLI,Narsipatnam,23706.5,3660.8,18369.0,937.1999999999999,651.9,87.60000000000001,0.0
ANAKAPALLI,Nathavaram,57568.6,16704.600000000002,37468.6,1338.8999999999999,1931.6999999999998,124.80000000000001,0.0
ANAKAPALLI,Parawada,43397.000000000015,12401.400000000001,29281.2,691.8,1009.8,12.8,0.0
ANAKAPALLI,Payakaraopeta,53632.00000000001,6058.8,44194.8,1997.3999999999999,1379.3999999999999,1.6,0.0
ANAKAPALLI,Rambilli,53713.600000000006,24457.4,26046.8,1974.3,1212.3,22.8,0.0
ANAKAPALLI,Ravikamatham,35845.4,9728.400000000001,22055.8,1993.5,2007.3,60.400000000000006,0.0
ANAKAPALLI,Rolugunta,31077.2,10071.6,18197.4,1492.2,1261.2,54.800000000000004,0.0
ANAKAPALLI,S.Rayavaram,45215.5,9845.0,32201.0,1962.8999999999999,1167.0,39.6,0.0
ANAKAPALLI,Sabbavaram,41297.299999999996,16594.600000000002,22591.4,919.1999999999999,995.6999999999999,196.4,0.0
ANAKAPALLI,V.Madugula,42621.399999999994,19118.0,20475.0,811.1999999999999,2064.0,153.20000000000002,0.0
ANAKAPALLI,Yelamanchili,31872.2,10595.2,19942.0,624.0,658.1999999999999,52.800000000000004,0.0
ANANTAPUR,ANANTHAPURAM,83939.0,21045.2,24973.0,31212.3,5528.099999999999,1180.4,0.0
ANANTAPUR,Atmakur,70486.8,19819.800000000003,12909.0,33516.299999999996,4241.7,0.0,0.0
ANANTAPUR,Beluguppa,49985.600000000006,23606.000000000004,16455.4,7654.2,2149.2,120.80000000000001,0.0
ANANTAPUR,Bommanahal,60793.2,26765.2,20350.2,10987.8,2620.7999999999997,69.2,0.0
ANANTAPUR,Brahmasamudram,64436.7,28173.2,18148.0,13792.5,4243.8,79.2,0.0
ANANTAPUR,BUKKARAYASAMUDRAM,84454.09999999999,15448.400000000001,36314.200000000004,30116.699999999997,2330.4,244.4,0.0
ANANTAPUR,D.Hirehal,50087.00000000001,20125.600000000002,10002.2,14158.5,5541.9,258.8,0.0
ANANTAPUR,Garladinne,63579.19999999999,20900.0,28332.2,12487.199999999999,1686.6,173.20000000000002,0.0
ANANTAPUR,Gooty,48816.299999999996,16062.2,15805.4,14525.699999999999,2244.6,178.4,0.0
ANANTAPUR,Gummagatta,51456.8,22820.600000000002,12027.6,12302.699999999999,4275.9,30.0,0.0
ANANTAPUR,Guntakal,71421.20000000001,22235.4,24588.2,21328.2,3181.7999999999997,87.60000000000001,0.0
ANANTAPUR,Kalyandurg,95824.30000000002,38561.600000000006,19068.4,30345.899999999998,7455.599999999999,392.8,0.0
ANANTAPUR,Kambadur,83922.4,29693.4,16845.4,31629.6,5754.0,0.0,0.0
ANANTAPUR,Kanekal,55972.6,25359.4,20576.4,7637.7,2267.1,132.0,0.0
